tic_id,toi_id,Disposition,RA,Dec,Tmag,Epoc,Period,Duration,Transit_Depth,Sectors,star_rad,teff,SN,camera,ccd,star_mass,Qingress,logg
124379043,2803.01,PC,93.114736,-23.4925467,12.075,2227.3086647,1.962292,2.935,20910.0,6,1.16,6384.0,124.0,3,2,4.268113928311091,0.18490183332822818,2.3176722797111924
356206412,2950.01,PC,133.7890407,-65.5726221,12.578,2358.1477626,3.2690486,3.666,6060.0,9,1.55,6368.0,42.0,1,3,4.866506606603549,0.5567698536156,1.0597940616333
420114036,4162.01,PC,290.392099,73.3501219,12.095,2029.1976636,4.3744338,5.356,8810.0,14,2.05,6013.0,177.0,1,1,2.008984337121636,-0.35915443027787064,4.801685678797624
156887426,2799.01,PC,99.0112964,-45.280645,13.181,2227.328418,1.4367914,2.178,23180.0,6,1.07,5873.0,116.0,2,2,2.7578974754642176,0.28624623737995414,1.566519066311935
441572821,4161.01,PC,110.150445,72.7594072,11.94,2032.7956055,4.2607579,6.322,3110.0,20,2.15,7409.0,19.0,2,1,5.5841364690289765,-1.3079773345933747,3.235360578275493
259165246,2831.01,PC,113.5193878,-15.9339999,12.078,2251.1663196,2.6926692,3.101,4150.0,7,2.11,9669.0,12.0,2,1,5.103057520726725,-1.022328743809183,3.9817164761537547
461538935,4157.01,PC,345.9810677,85.4430471,11.558,2026.7853226,5.2898685,3.091,2390.0,18,1.11,6655.0,30.0,1,1,5.020467750663383,-1.2364570117923828,3.7190856496011966
344140617,2880.01,PC,108.4124408,-48.6962704,13.287,2224.0796981,4.7799716,4.976,5250.0,6,1.79,6605.0,20.0,3,3,4.3295537668375035,0.09391753768180466,1.4613160215582526
462553953,4156.01,PC,230.7813981,76.3317292,10.715,2026.9979416,4.4616001,2.754,480.0,14,1.04,5986.0,10.0,3,3,2.010203328496288,-0.35619235185834985,1.7670910472017862
470171739,4153.01,PC,335.3929507,82.2160436,11.148,2026.0548693,4.6174187,4.461,10730.0,18,1.67,6411.0,189.0,2,1,1.8179804117307938,0.2890203666210054,1.009471102707797
302798365,2946.01,PC,135.5971532,-70.9476696,12.398,2331.5641598,4.9186433,1.849,19840.0,9,0.72,4394.0,91.0,1,2,2.8941479622911643,0.1936305147981474,4.9533687633450665
28945511,2934.01,PC,132.4646875,-43.2858214,12.802,2278.6836838,1.1239749,1.011,2190.0,8,0.95,6220.0,9.0,2,1,3.089960293844425,-1.2175927713465344,2.7994393969680686
298206077,2900.01,PC,142.7311215,-51.1411001,13.461,2303.692092,1.317173,2.581,14130.0,9,,4649.5,36.0,2,2,6.123851029601347,-1.072636984232378,3.2476075021812956
456962262,3157.01,PC,201.4731799,-59.1812603,13.624,1619.2937583,2.8811368,2.274,14360.0,11,,5068.9,10.0,1,3,6.347959438177084,-0.8273317463504004,3.0529592246238453
465176038,3154.01,PC,162.663216,-60.846985,12.802,1623.3760899,4.0326475,4.112,6170.0,10,1.73,6347.3,9.0,2,2,2.4677034503240005,0.3815004316651949,4.268667636250974
398502253,3172.01,PC,161.3213183,-68.4606029,13.541,1620.0574514,3.0029309,2.859,5080.0,10,1.91,6212.0,10.0,2,1,8.18894193736404,-0.1828542492886467,4.548224934935069
319806044,3209.01,PC,174.4957928,-61.4710671,13.079,1623.1449908,1.3501717,2.16,5400.0,10,,4297.6,9.0,3,2,2.96945622893036,0.6830408583814767,3.518237730526119
357634632,3009.01,PC,137.9487451,-60.6247265,12.912,2332.074941,3.365343,3.352,7700.0,9,1.83,9582.0,31.0,2,3,8.182118580954269,-0.9196489312498575,4.491217096645004
294365631,3228.01,PC,168.8650149,-66.8373885,12.032,1622.5348588,1.8121477,1.389,5230.0,10,2.25,6222.0,21.0,3,1,2.677809114372866,0.9076662085959755,4.027202322175526
294385899,3227.01,PC,168.9984767,-69.318316,12.68,1608.8553845,8.9466535,3.718,5780.0,10,,5317.7,11.0,1,1,0.6917477789880329,0.7733605537915746,3.1857510075639386
468055102,3264.01,PC,286.4818907,-35.8157443,12.635,2057.259668,3.3133491,3.881,8900.0,13,1.56,6690.0,30.0,3,2,6.15877105115254,0.011827703934304878,2.2643070586534226
464481762,3292.01,PC,284.2113428,-61.7175242,13.383,1674.6177119,4.253182,4.123,8290.0,13,1.44,5674.0,14.0,1,2,3.0310757774306416,-0.9937186908792743,3.4435661727796862
256158543,3329.01,PC,266.8810381,-79.4666708,11.672,1677.7126197,5.0648607,4.379,9710.0,12,1.34,6411.0,115.0,1,2,5.5965192534945025,-0.7247285208423738,3.166599449021918
411608801,1494.01,CP,18.9952119,21.6169462,10.3,2464.3257336,5.0267882,2.678,7350.0,17,1.48,6434.0,101.0,1,2,4.515222244827778,-0.16337394498350521,2.4342774418626667
431514478,1475.01,PC,357.001182008044,49.7905348073279,8.77994,1767.61829577361,8.49535132634527,0.906055458598115,718.486944789073,17,1.88016,10012.0,8.222785,2,2,4.947433801121326,-1.358781390088412,3.8564495122552134
352413427,1473.01,PC,15.5981974831421,37.185482990582,8.297,1769.78441283778,5.25529422780789,3.27473739136553,557.893757082534,17,0.992345,5958.0,8.702014,2,3,6.523979615917274,-0.9150309456173437,4.47703167963794
202375913,1527.01,PC,5.9654639,51.4683011,9.697,1768.23572,5.06203,3.683,2900.0,17,2.76,7664.0,38.0,2,1,5.1027317277747795,-0.5697694334622445,4.646944458301682
15692883,1493.01,PC,17.4748555,25.6816955,9.712,1764.8563,5.14124,5.405,3710.0,17,2.9,6064.0,10.0,1,3,5.236024459305368,-1.2793493332777102,2.530213724436458
377191482,1485.01,PC,285.9370886,59.1640547,8.805,1686.17246,2.95607,1.86,230.0,14,6.17,5054.0,9.0,2,3,5.939518469162481,-1.182037778683108,2.0283183845195243
194203348,1546.01,PC,1.1969593,41.5940059,9.877,1764.83324,1.13345,1.894,490.0,17,1.4,6223.0,9.0,1,1,3.4445455991605884,-0.367632272768768,4.92394198620261
384045439,1496.01,PC,327.2746834,53.2937245,10.048,1743.87066,10.82661,6.877,5890.0,16,0.68,5113.0,39.0,2,2,2.012700151994001,-1.1956959231885467,4.404001698453959
376682699,1511.01,PC,340.3522063,69.0744482,10.381,1765.15299,1.10264,2.419,2940.0,17,2.0,9218.0,75.0,3,3,7.182224039430592,0.3768549108150123,1.1061885612733353
283474780,1490.01,PC,13.0174011,36.3929354,8.395,1765.91435,3.9943,4.876,550.0,17,5.11,4939.0,9.0,3,3,3.15237058551167,-0.15212956577494596,2.543749435873566
53875855,1491.01,PC,14.6527565,34.1482579,10.4,1769.16143,4.49321,3.002,2680.0,17,1.23,5899.0,24.0,3,3,3.07156798373578,-0.7928013186642802,1.192005951012748
329145325,1501.01,PC,332.7126916,59.6505933,10.409,1739.60386,1.07672,2.75,3840.0,16,1.58,7274.0,39.0,1,1,5.52099410223408,0.5991343759668997,3.119338186409452
313761775,1526.01,PC,318.3478198,56.9438148,9.694,1716.35218,1.53127,1.301,470.0,15,2.38,6298.0,11.0,1,1,4.586555699744395,0.8066486021504575,4.473312264663932
249862365,1562.01,PC,38.1227244,52.704289,9.102,1791.5299,0.98999,2.05,420.0,18,1.84,6208.0,13.0,3,3,5.543708751186866,-0.980181335018449,2.2732117956477365
410358456,3268.01,PC,60.0531868,-87.9121312,11.904,2059.2479726,1.8641301,1.446,4320.0,12,1.02,5293.0,35.0,2,2,8.175314440743039,0.18496544659751724,4.908105200439431
348135793,1578.01,PC,34.3769442,56.4215139,10.104,1791.58678,1.97741,6.549,5470.0,18,2.11,6742.0,68.0,1,2,5.623188930023165,-0.1873454245334254,4.42392684369559
418987806,1584.01,PC,6.5195501,63.3194132,9.279,1791.06276,0.88654,1.679,870.0,17,4.27,6919.0,32.0,1,1,7.078436705655319,-1.1745781316598707,4.878463132561148
444415148,1585.01,PC,6.308947,62.5431297,8.968,1764.8746,1.83641,2.222,470.0,17,5.03,9542.0,11.0,3,1,5.9591228180984235,0.09937209736951114,1.2638157051761008
9348006,1775.01,PC,150.115134018331,39.4578164236987,10.9184,1877.56467576492,10.2403744118098,3.64750738604034,9295.31785256693,21,0.83944,5251.0,29.144968,3,1,3.1733803704194012,0.7761006812391691,4.241685865280919
21535395,1776.01,PC,164.776066753028,40.9836077907008,7.6586,1871.48856648948,2.8009914707958,1.49853987456756,204.855332544592,21,0.945408,5723.87,7.390294,1,1,7.623005362698322,-1.335957492963311,3.1753764840657004
29054413,1631.01,PC,50.9163566538539,25.0480720435066,10.4289,1795.50238255997,7.62609458845174,1.28949192787537,1491.82461159367,18,0.949022,5473.0,7.3736615,2,2,3.2301696762408696,0.9183782691153968,1.9525854569263594
51024887,1632.01,PC,42.1541460591675,62.1897089490471,14.9885,1797.3449977301,8.24918714462144,4.98078465701191,117724.028261351,18,0.165066,2990.0,16.019594,2,3,3.550783347408049,-0.5994484512145436,2.1880706527559184
241225337,1727.01,PC,93.5585327730615,53.1361714083851,9.75149,1842.6396669621,1.83279230585481,1.46267650480552,502.107256854017,20,0.98869,5566.0,7.6161976,3,1,2.809311412805696,-0.8927066281415816,4.818120870855413
318022259,1730.01,PC,107.866428753493,48.3303892640576,10.3595,1844.38122682229,6.22223582293394,2.26247278420468,1846.72682671789,20,0.532243,3691.0,13.8666525,3,1,3.732978615147562,0.8952049176488845,3.328965868264142
318022259,1730.02,PC,107.866428753493,48.3303892640576,10.3595,1844.57982689553,2.15566918162787,1.61503304748628,697.339278800244,20,0.532243,3691.0,7.770726,3,3,7.219350976240919,0.8614618383454169,3.0108376182454033
29191624,1777.01,PC,151.807036404412,46.1149765432176,8.737,1873.29828659636,14.6531992429925,2.49763251698178,530.486438271915,21,0.983752,5859.45,8.531814,3,1,0.9913362561685524,-0.554282343348926,2.219250464047508
99834717,1780.01,PC,165.167425763115,64.9639847690129,12.212,1871.72429831514,1.70630705517049,1.61359897540849,12242.3954173386,21,0.902915,4974.0,34.111683,3,3,6.746416510001158,0.07399569717057752,2.462033891895543
229938290,1783.01,PC,287.680980853891,64.1533419934549,9.2742,1871.09116620477,1.41986588683862,1.30584973473734,465.210620481054,21,0.984511,5406.0,8.185986,3,2,1.1526415122267815,-0.13214981132474768,3.641865017055512
